routecode,stopcode,tripdirection,long,lat
108,6685,1,-122.3718,37.81602
108,7558,0,-122.371964,37.828311
108,7558,1,-122.371964,37.828311
108,7605,0,-122.394244,37.789814
108,7605,1,-122.394244,37.789814
10EXTRA,3008,0,-122.396562,37.7853180000001
10EXTRA,3313,0,-122.401711,37.7647710000001
10EXTRA,4350,1,-122.40163,37.766056
10EXTRA,5147,0,-122.434676,37.7925290000001
10EXTRA,5147,1,-122.434676,37.7925290000001
10EXTRA,5852,1,-122.410037,37.7965560000001
10EXTRA,5853,0,-122.410175,37.796405
10EXTRA,5858,1,-122.42313,37.7949
10EXTRA,5859,0,-122.422901,37.794784
10EXTRA,5859,1,-122.422901,37.794784
10EXTRA,6327,0,-122.40122,37.7931800000001
10EXTRA,6333,1,-122.40131,37.7942800000001
10EXTRA,6694,0,-122.394975,37.7771890000001
10EXTRA,6695,1,-122.394986,37.776984
10EXTRA,6700,1,-122.401661,37.7717040000001
